,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
434,56364,434,1854438890,1641817626,8,501,50296,"(1538470631, 229392139)",2
435,434,47930,1719670142,1806840808,8,227,52171,"(229392142, 1538470572)",0
436,434,47930,1719670142,1806840996,8,236,51974,"(229392142, 1538470572)",2
437,434,47930,1719670142,1806841081,8,236,51885,"(229392143, 1538470575)",2
438,434,47930,1719670142,1806841269,8,245,51688,"(229392143, 1538470575)",0
439,434,56372,2259632878,2869297308,8,235,746,"(229392144, 1538470572)",2
440,56372,434,2869297308,2259636034,8,491,17281,"(1538470647, 229392144)",1
441,434,47930,1719670142,1806841269,8,245,61009,"(229392144, 1538470575)",0
442,47930,434,1806841269,1719670761,8,501,50737,"(1538470650, 229392144)",0
443,434,56376,2165483948,1997082855,8,235,746,"(229392145, 1538470575)",2
444,56376,434,1997082855,2165487104,8,491,1546,"(1538470650, 229392145)",1
445,434,47930,1719670761,1806841269,8,245,44472,"(229392144, 1538470575)",0
446,47930,434,1806841269,1719670825,8,501,50673,"(1538470650, 229392144)",0
447,56372,434,2869297308,2259636034,8,501,6779,"(1538470651, 229392144)",1
448,434,47930,1719670825,1806841269,8,245,9825,"(229392144, 1538470575)",0
449,56376,434,1997082855,2165487104,8,501,40754,"(1538470655, 229392145)",1
450,47930,434,1806841269,1719671386,8,501,50107,"(1538470655, 229392144)",0
451,56384,434,329881108,0,10,64240,16441,"(1538470659, 0)",3
452,434,47982,4045211573,488880630,8,333,3382,"(229392150, 1538470608)",0
453,47982,434,488880698,4045217365,8,480,65269,"(1538470673, 229392150)",0
454,434,47982,4045217365,488880630,8,333,486,"(229392151, 1538470611)",0
455,47982,434,488880698,4045220261,8,501,62351,"(1538470673, 229392151)",0
456,434,47982,4045220261,488880630,8,333,35238,"(229392151, 1538470611)",0
457,47982,434,488880698,4045257909,8,1089,24112,"(1538470676, 229392151)",0
458,434,56328,3510785342,2040853417,8,235,48135,"(229392154, 1538470618)",2
459,434,48012,3288309422,3014931189,8,278,21886,"(229392155, 1538470536)",1
460,48012,434,3014931189,3288309490,8,501,39905,"(1538470690, 229392155)",1
461,434,56360,1262885040,955686828,8,235,49495,"(229392155, 1538470624)",2
462,48012,434,3014931189,3288309490,8,501,45321,"(1538470690, 229392155)",1
463,56328,434,2040853417,3510785600,8,501,44494,"(1538470690, 229392154)",1
464,443,42680,3734176449,2386801833,8,32768,50755,"(1131042488, 2746310284)",0
465,42680,443,2386801833,3734176554,8,10043,36314,"(2746322006, 1131042488)",5
466,39060,443,3202258956,929523516,8,501,31320,"(2240206307, 329499927)",0
467,443,39060,929523516,3202259008,8,1452,44901,"(329520986, 2240206307)",0
468,39060,443,3202259008,929523551,8,501,22280,"(2240206402, 329520986)",0
469,42680,443,2386801833,3734176554,8,10043,20494,"(2746330774, 1131042488)",5
470,443,42680,3734176554,2386802082,8,32768,61154,"(1131051441, 2746330774)",0
471,443,42680,3734176554,2386802082,8,32768,20066,"(1131051482, 2746330774)",0
472,42680,443,2386802082,3734176643,8,10043,18011,"(2746330977, 1131051482)",5
473,42680,443,2386802082,3734176643,8,10043,9639,"(2746331174, 1131051482)",5
474,59094,443,3850612567,0,10,64240,7451,"(3850478064, 0)",3
475,57774,80,3524254382,0,10,64240,3017,"(3850478066, 0)",1
476,443,42680,3734176643,2386802299,8,32768,60051,"(1131051838, 2746331174)",0
477,443,59094,3471133095,3850612568,10,65535,48855,"(2089600231, 3850478064)",0
478,59094,443,3850612568,3471133096,8,502,59923,"(3850478252, 2089600231)",0
479,80,57774,3512671843,3524254383,10,65535,32477,"(1546075107, 3850478066)",1
480,57774,80,3524254383,3512671844,8,502,43767,"(3850478252, 1546075107)",1
481,443,42680,3734176643,2386802299,8,32768,26502,"(1131051919, 2746331174)",0
482,42680,443,2386802299,3734176940,8,10043,16658,"(2746331379, 1131051919)",5
483,443,42680,3734176940,2386802299,8,32768,5405,"(1131051926, 2746331174)",0
484,42680,443,2386802299,3734177045,8,10043,16546,"(2746331379, 1131051926)",5
485,59094,443,3850612568,3471133096,8,502,36746,"(3850478252, 2089600231)",0
